/usr/local/lib/python3.11/dist-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
==========================================================================================
Config options:

  IMAGE_PATH               	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/
  IMAGE_PATH_cover         	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/cover/
  IMAGE_PATH_secret        	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/secret/
  IMAGE_PATH_secret_rev    	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/secret-rev/
  IMAGE_PATH_steg          	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/steg/
  MODEL_PATH               	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/model/
  SAVE_freq                	50
  TRAIN_PATH               	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/DIV2K_train_HR/DIV2K_train_HR/
  VAL_PATH                 	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/DIV2K_valid_HR/DIV2K_valid_HR/
  batch_size               	4
  batchsize_val            	2
  betas                    	(0.5, 0.999)
  channels_in              	3
  checkpoint_on_error      	True
  clamp                    	2.0
  cropsize                 	224
  cropsize_val             	1024
  device_ids               	[0]
  epochs                   	1000
  format_train             	png
  format_val               	png
  gamma                    	0.5
  init_model_path          	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/model/model.pt
  init_scale               	0.01
  lamda_guide              	1
  lamda_low_frequency      	1
  lamda_reconstruction     	5
  live_visualization       	False
  log10_lr                 	-5.5
  loss_display_cutoff      	2.0
  loss_names               	['L', 'lr']
  lr                       	3.162277660168379e-06
  milestones               	[5, 8]
  progress_bar             	False
  shuffle_val              	False
  silent                   	False
  suffix                   	model.pt
  tain_next                	False
  trained_epoch            	0
  val_freq                 	50
  weight_decay             	1e-05
  weight_step              	1000
==========================================================================================

Epoch		L		lr
Using device: cuda:0
/usr/local/lib/python3.11/dist-packages/torch/ao/quantization/observer.py:229: UserWarning: Please use quant_min and quant_max to specify the range for observers.                     reduce_range will be deprecated in a future release of PyTorch.
  warnings.warn(
Model prepared for QAT.
Starting QAT fine-tuning...
001		0.2848		-5.5000
002		0.3238		-5.5000
003		0.4330		-5.5000
004		0.3396		-5.5000
005		0.4265		-5.5000
006		0.3732		-5.5000
007		0.4699		-5.5000
008		0.4484		-5.5000
009		0.5232		-5.5000
010		0.4863		-5.5000
011		0.6981		-5.5000
012		0.8122		-5.5000
013		0.8352		-5.5000
014		0.9705		-5.5000
015		0.9387		-5.5000
016		0.9881		-5.5000
017		1.1023		-5.5000
018		1.1563		-5.5000
019		1.3865		-5.5000
020		1.8975		-5.5000
021		1.7864		-5.5000
022		2.2288		-5.5000
023		3.1270		-5.5000
024		6.2869		-5.5000
025		4.7827		-5.5000
026		4.1094		-5.5000
027		2.4433		-5.5000
028		5.6103		-5.5000
029		2.4771		-5.5000
030		2.9607		-5.5000
031		2.8085		-5.5000
032		3.0256		-5.5000
033		2.4586		-5.5000
034		2.2804		-5.5000
035		2.7785		-5.5000
036		2.5482		-5.5000
037		2.3492		-5.5000
038		2.1570		-5.5000
039		2.4248		-5.5000
040		2.4597		-5.5000
041		2.7180		-5.5000
042		2.4249		-5.5000
043		2.2909		-5.5000
044		2.1908		-5.5000
045		2.4744		-5.5000
046		2.1883		-5.5000
047		2.9313		-5.5000
048		2.2831		-5.5000
049		2.5812		-5.5000
050		2.0224		-5.5000
051		2.0346		-5.5000
052		2.3233		-5.5000
053		2.3979		-5.5000
054		2.0965		-5.5000
055		2.3317		-5.5000
056		2.1450		-5.5000
057		2.2703		-5.5000
058		2.3462		-5.5000
059		1.9264		-5.5000
060		1.9615		-5.5000
061		2.5475		-5.5000
062		2.4515		-5.5000
063		2.2811		-5.5000
064		1.8882		-5.5000
065		2.2574		-5.5000
066		2.3399		-5.5000
067		2.4129		-5.5000
068		2.4761		-5.5000
069		2.0914		-5.5000
070		2.1774		-5.5000
071		2.5809		-5.5000
072		2.1497		-5.5000
073		2.1847		-5.5000
